,Genotype,Sample,label,area,DAPI_mean,DAPI_total
178,Control,0,2584,9463.0,221.62348092571065,2097223.0
179,Control,0,2585,22689.0,169.90321301071003,3854934.0
180,Control,0,2586,18667.0,251.2262281030696,4689640.0
181,Control,0,2587,12139.0,310.95889282477964,3774730.0
182,Control,0,2588,11957.0,206.05829221376598,2463839.0
183,Control,0,2589,16621.0,330.0020456049576,5484964.0
184,Control,0,2591,9658.0,243.716815075585,2353817.0
185,Control,0,2592,9217.0,163.9703808180536,1511315.0
186,Control,0,2593,9063.0,181.8005075582037,1647658.0
187,Control,0,2594,9142.0,301.4590899146795,2755939.0
188,Control,0,2595,8609.0,284.1886397955628,2446580.0
189,Control,0,2596,17659.0,279.63780508522564,4938123.999999999
190,Control,0,2597,16327.0,224.33533410914436,3662723.0
191,Control,1,2,16296.0,81.64592538046146,1330502.0
192,Control,1,4,26543.0,145.14990769694458,3852714.0
193,Control,1,5,29636.0,118.3613510595222,3507757.0
194,Control,1,9,27715.0,139.97979433519754,3879540.0
195,Control,1,10,21530.0,299.55438922433814,6449406.0
196,Control,1,11,24391.0,192.68713869870035,4699832.0
197,Control,1,14,18620.0,84.42239527389903,1571945.0
198,Control,1,15,17912.0,99.11333184457347,1775318.0
199,Control,1,16,24424.0,219.20831968555518,5353944.0
200,Control,1,17,16503.0,311.16845422044474,5135213.0
201,Control,1,18,32525.0,90.18364335126826,2933223.0
202,Control,1,24,30603.0,117.10456491193673,3583751.0
203,Control,1,27,21571.0,267.96356218997727,5780242.0
204,Control,1,58,16037.0,81.44914884329987,1306200.0
205,Control,1,168,25629.0,195.41597409184908,5008316.0
207,Control,1,364,12100.0,208.82685950413224,2526805.0
208,Control,1,389,19204.0,100.9289731305978,1938240.0
209,Control,1,394,20365.0,101.62145838448318,2069521.0
211,Control,1,405,12754.0,131.5024306100047,1677181.9999999998
212,Control,1,406,21279.0,199.70210066262513,4249461.0
213,Control,1,407,15885.0,138.81970412338686,2205151.0
214,Control,1,416,13834.0,167.41289576405956,2315990.0
215,Control,1,417,20200.0,60.25806930693069,1217213.0
216,Control,1,419,17207.0,51.422793049340385,884832.0
217,Control,1,425,22651.0,171.6082292172531,3887098.0
218,Control,1,426,19536.0,147.8133701883702,2887682.0
219,Control,1,427,11708.0,239.12393235394603,2799663.0
220,Control,1,428,13588.0,60.46592581689726,821611.0
221,Control,1,429,22159.0,89.88600568617717,1991784.0
222,Control,1,431,14973.0,40.05209376878381,599700.0
223,Control,1,433,17069.0,243.26088230124788,4152220.0
224,Control,1,434,10848.0,233.68491887905606,2535014.0
225,Control,1,435,10427.0,41.05217224513283,428051.0
226,Control,1,436,7974.0,43.897542011537496,350039.0
227,Control,1,437,15075.0,50.660298507462684,763704.0
229,Control,1,444,12950.0,57.6003861003861,745925.0
230,Control,1,445,6743.0,41.36274655197983,278909.0
231,Control,1,447,8461.0,24.431627467202457,206716.0
232,Control,1,448,9022.0,336.29505652848593,3034054.0
233,Control,1,449,17284.0,155.12468178662346,2681175.0
234,Control,1,450,15132.0,99.34945810203543,1503356.0
235,Control,1,451,16791.0,278.01173247573104,4668095.0
236,Control,1,452,17262.0,243.52792260456494,4203779.0
237,Control,1,453,11618.0,219.10647271475298,2545579.0
238,Control,1,454,17826.0,254.17042522158644,4530842.0
239,Control,1,455,17361.0,241.37238638327284,4190466.0
240,Control,1,456,9733.0,145.96003287783827,1420629.0
241,Control,1,457,8770.0,174.21596351197263,1527874.0
242,Control,1,458,13299.0,397.7708850289495,5289955.0
243,Control,1,459,10152.0,115.79984239558708,1175600.0
244,Control,1,460,13410.0,105.07554064131246,1409063.0
245,Control,1,461,9545.0,125.08999476165532,1193984.0
246,Control,1,462,12066.0,130.95135090336484,1580059.0000000002
247,Control,1,463,14252.0,137.71246140892507,1962678.0
248,Control,1,464,10261.0,125.72985089172596,1290114.0
249,Control,1,465,9704.0,147.32697856553997,1429661.0
250,Control,1,466,18281.0,219.34221322684755,4009795.0
251,Control,1,467,21407.0,191.5301069743542,4100085.0000000005
252,Control,1,468,12518.0,130.3664323374341,1631927.0000000002
253,Control,1,469,10386.0,118.73810899287503,1233214.0
254,Control,1,470,17026.0,294.41924116057794,5012782.0
255,Control,1,471,15198.0,277.506514015002,4217544.0
256,Control,1,472,15414.0,234.65829765148567,3617023.0
257,Control,1,473,5061.0,69.15491009681881,349993.0
258,Control,1,474,23146.0,126.02285492093667,2916925.0
259,Control,1,475,7449.0,83.29641562625856,620475.0
260,Control,1,476,26282.0,139.35054409862263,3662411.0
261,Control,1,477,8714.0,131.77450080330502,1148283.0
262,Control,1,478,22603.0,180.97641905941688,4090610.0
263,Control,1,479,25324.0,128.62620439109145,3257330.0
264,Control,1,480,16086.0,183.3852418251896,2949935.0
265,Control,1,481,17544.0,390.36468308253535,6848558.0
266,Control,1,483,12567.0,128.74608100580886,1617952.0
267,Control,1,486,16673.0,268.0143345528699,4468603.0
268,Control,1,487,17958.0,286.1615992872257,5138890.0
269,Control,1,488,21871.0,173.7363174980568,3799787.0
270,Control,1,489,22074.0,192.5341578327444,4249999.0
271,Control,1,490,9832.0,178.6613100081367,1756598.0
272,Control,1,491,20676.0,225.7811955890888,4668252.0
273,Control,1,492,21381.0,288.5707871474674,6169932.0
274,Control,1,493,15198.0,262.8926832477958,3995443.0000000005
276,Control,1,495,12480.0,302.7720352564103,3778595.0000000005
277,Control,1,496,29612.0,179.76131298122382,5323092.0
278,Control,1,497,41890.0,153.3186440677966,6422518.0
279,Control,1,498,11763.0,139.06988013261923,1635879.0
280,Control,1,499,16925.0,258.2687740029542,4371199.0
281,Control,1,500,5235.0,437.7896848137536,2291829.0
282,Control,1,501,15791.0,296.4954721043633,4681960.0
283,Control,1,502,14279.0,309.9808810140766,4426217.0
